cd,new_pop,pop_u18,hisp,white,black,asian,other_race,multiracial,pop_acs23,dem,rep,blank,third_parties,prim_adams,prim_wiley,prim_garcia,prim_yang,prim_stringer,prim_morales,prim_mcguire,prim_donovan,prim_votes,adams,sliwa,mayor_votes,active_voters_21,mayor_turnout_pct,prez_votes,active_voters_24,prez_turnout_24,active_voters_23,council_turnout_23,incumbent,boro,party,ntas,lar_grp1,lar_grp2,lar_grp3,lar_pop1,lar_pop2,lar_pop3,mhIncome
39,171461.0,39605.0,25494.0,102522.0,10187.0,22334.0,2048.0,8876.0,171461.0,90414.0,7180.0,19085.0,2519.0,4329.0,13812.0,15234.0,2697.0,1884.0,971.0,508.0,526.0,40700.0,30116.0,4107.0,38295.0,114499.0,33.5,76689.0,109157.0,70.3,21616.0,20.3,Shahana Hanif,bk,D,"Cobble Hill, Carroll Gardens, Columbia Waterfront, Gowanus, Park Slope, 
Windsor Terrace, Borough Park, Kensington",Italian,Irish,German,16287.0,16252.0,14094.0,146886.7
40,179152.0,34950.0,26846.0,39987.0,85648.0,13914.0,2692.0,10065.0,179152.0,85621.0,5161.0,18062.0,2519.0,11353.0,8340.0,2714.0,1138.0,887.0,641.0,328.0,359.0,26257.0,20437.0,1910.0,24470.0,105259.0,23.3,60823.0,101237.0,60.1,12213.0,12.4,Rita Joseph,bk,D,"Crown Heights, East Flatbush, Flatbush, Kensington, Midwood, Prospect Park, 
and Prospect Lefferts Gardens",W Indians Haitian,W Indians Jamaican,S African African,12719.0,12363.0,7570.0,83864.4
41,176520.0,38798.0,28069.0,10872.0,123342.0,2717.0,2243.0,9277.0,176520.0,77301.0,3358.0,15740.0,2103.0,12226.0,3093.0,534.0,495.0,369.0,281.0,333.0,266.0,17932.0,16518.0,910.0,18160.0,98010.0,18.5,48100.0,92730.0,51.9,6988.0,7.7,Darlene Mealy,bk,D,"Bedford-Stuyvesant, Ocean Hill-Brownsville, East Flatbush, Crown Heights",W Indians Jamaican,Dominican,Puerto Rican,13276.0,8484.0,8010.0,57423.8
42,162738.0,38425.0,38334.0,5075.0,102134.0,6832.0,2309.0,8054.0,162738.0,75182.0,4212.0,16321.0,2039.0,12664.0,2181.0,394.0,654.0,504.0,290.0,390.0,296.0,17795.0,17095.0,1327.0,19022.0,102443.0,18.6,46157.0,92122.0,50.1,7600.0,8.3,Chris Banks,bk,D,"East New York, New Lots, Remsen Village, Spring Creek, Starrett City",Puerto Rican,W Indians Jamaican,Dominican,14013.0,11203.0,11157.0,57903.2
43,169310.0,37858.0,28615.0,45226.0,1628.0,89526.0,925.0,3390.0,169310.0,34344.0,10924.0,23402.0,1455.0,1046.0,705.0,810.0,3789.0,346.0,207.0,60.0,157.0,7419.0,3881.0,6624.0,11350.0,68535.0,16.6,30482.0,64795.0,47.0,8510.0,13.4,Susan Zhuang,bk,D,"Bay Ridge, Dyker Heights, Bensonhurst, Bath Beach","Chinese, excluding Taiwanese",Italian,Mexican,64307.0,11427.0,10508.0,67215.8
44,186978.0,63374.0,17121.0,129453.0,3451.0,26106.0,5415.0,5432.0,186978.0,40792.0,18219.0,17245.0,1458.0,4815.0,498.0,662.0,5125.0,377.0,134.0,110.0,116.0,12109.0,6024.0,8488.0,15766.0,76460.0,20.6,41456.0,71877.0,57.7,9731.0,13.0,Simcha Felder,bk,D,"Bensonhurst, Borough Park, Midwood, Ocean Parkway","Chinese, excluding Taiwanese",Mexican,Polish,12485.0,6888.0,6226.0,67780.8
45,156711.0,33022.0,14071.0,27618.0,95285.0,8352.0,2321.0,9064.0,156711.0,78604.0,6777.0,17542.0,2175.0,14608.0,3837.0,1344.0,1316.0,846.0,304.0,380.0,383.0,23393.0,20123.0,3582.0,24920.0,107198.0,23.3,58575.0,101201.0,57.9,10602.0,11.0,Farah N. Louis,bk,D,"Flatbush, East Flatbush, Midwood, Marine Park, Flatlands, Kensington",W Indians Haitian,W Indians Jamaican,Guyanese,17742.0,12878.0,8005.0,84909.0
46,175893.0,36172.0,15740.0,48086.0,89100.0,13638.0,1879.0,7450.0,175893.0,68250.0,13847.0,20655.0,2651.0,10680.0,2275.0,1490.0,1633.0,1017.0,218.0,307.0,370.0,18322.0,15899.0,9241.0,26673.0,103516.0,25.8,59790.0,100726.0,59.4,11632.0,12.0,Mercedes Narcisse,bk,D,"Bergen Beach, Canarsie, Flatlands, Georgetown, Gerritsen Beach, Marine 
Park, Mill Basin, Mill Island, Sheepshead Bay",W Indians Haitian,W Indians Jamaican,Italian,16815.0,15292.0,10113.0,95624.0
47,184321.0,37119.0,33578.0,91166.0,14715.0,37540.0,1594.0,5728.0,184321.0,50380.0,17713.0,25338.0,2849.0,3542.0,2349.0,2827.0,2664.0,882.0,456.0,229.0,346.0,13741.0,12058.0,11880.0,25890.0,97975.0,26.4,52192.0,90433.0,57.7,20189.0,23.0,Justin Brannan,bk,R,"Bensonhurst, Coney Island, Gravesend, Sea Gate","Chinese, excluding Taiwanese",Italian,Puerto Rican,22173.0,17791.0,11052.0,78952.9
48,168098.0,33571.0,14302.0,111947.0,3548.0,30904.0,1298.0,6099.0,168098.0,36994.0,24921.0,28186.0,2246.0,3365.0,726.0,1342.0,2244.0,764.0,171.0,124.0,205.0,9268.0,6341.0,12859.0,20758.0,89448.0,23.2,48181.0,87466.0,55.1,12558.0,15.0,Inna Vernikov,bk,R,"Brighton Beach, m Beach, Sheepshead Bay, Homecrest, Trump Village, 
Luna Park, Brightwater Towers, Midwood",Russian,"Chinese, excluding Taiwanese",Ukranian,18343.0,15717.0,14673.0,71197.4
49,164869.0,39037.0,54644.0,46299.0,39407.0,17845.0,1844.0,4830.0,164869.0,56416.0,16582.0,24357.0,3868.0,5357.0,2310.0,2157.0,1714.0,930.0,411.0,375.0,480.0,14155.0,14129.0,10294.0,26093.0,96686.0,27.0,54206.0,95669.0,56.7,9855.0,11.0,Kamillah Hanks,si,D,"Arlington, Clifton, Clove Lakes, Concord, Elm Park, Graniteville, 
Livingston, Mariners Harbor, New Brighton, Port Richmond, Randall Manor, 
Rosebank, St. George, Snug Harbor, Silver Lake, Stapleton, Sunnyside, West 
Brighton and Tompkinsville",Puerto Rican,Italian,Mexican,19700.0,15843.0,11459.0,83071.9
